,EEG.Fp1,EEG.Fz,EEG.F3,EEG.F7,EEG.FT9,EEG.FC5,EEG.FC1,EEG.C3,EEG.T7,EEG.TP9,EEG.CP5,EEG.CP1,EEG.Pz,EEG.P3,EEG.P7,EEG.O1,EEG.Oz,EEG.O2,EEG.P4,EEG.P8,EEG.TP10,EEG.CP6,EEG.CP2,EEG.C4,EEG.T8,EEG.FT10,EEG.FC6,EEG.FC2,EEG.F4,EEG.F8,EEG.Fp2,EEG.AF7,EEG.AF3,EEG.AFz,EEG.F1,EEG.F5,EEG.FT7,EEG.FC3,EEG.C1,EEG.C5,EEG.TP7,EEG.CP3,EEG.P1,EEG.P5,EEG.PO7,EEG.PO3,EEG.POz,EEG.PO4,EEG.PO8,EEG.P6,EEG.P2,EEG.CPz,EEG.CP4,EEG.TP8,EEG.C6,EEG.C2,EEG.FC4,EEG.FT8,EEG.F6,EEG.AF8,EEG.AF4,EEG.F2,EEG.FCz,number
0,0.052280307,0.006567861,0.021064576,0.011741176,0.007829955,0.014235649,0.0044630417,0.014688222,0.013269262,0.073954865,0.02973705,0.005299914,0.015742319,0.034870327,0.029457038,0.026743276,0.017122695,0.020401398,0.025593642,0.02706687,0.06842921,0.031828377,0.0069709024,0.008417704,0.0488668,0.0062555736,0.004158354,0.0029909508,0.006427146,0.0075756535,0.023422118,0.026724761,0.012336357,0.017091157,0.006958352,0.016406085,0.013311207,0.016715247,0.008647038,0.05310508,0.026012572,0.017794022,0.007146209,0.031661063,0.019350292,0.01383123,0.014368343,0.018379338,0.040004034,0.03701804,0.014387081,0.006794296,0.01170665,0.03103535,0.062471148,0.00531128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,0.08788502,0.02154616,0.059757702,0.04422119,0.019792072,0.032743137,0.009236948,0.010389711,0.025357295,0.03152368,0.012705824,0.005926771,0.0078935,0.013864978,0.02505724,0.0228059,0.015396864,0.022851387,0.022889376,0.03295799,0.07975247,0.030073976,0.0073941275,0.0141516505,0.10362666,0.035748363,0.04321817,0.009399427,0.028616894,0.040948983,0.10325787,0.08954576,0.04489138,0.030210946,0.017764693,0.04669632,0.022703767,0.014938916,0.0042628604,0.01978436,0.017907856,0.009135864,0.010363988,0.020576607,0.03003499,0.014611482,0.010720486,0.018297918,0.028410297,0.030257707,0.01290794,0.0058849542,0.015045716,0.028129071,0.019764878,0.0075120977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0.0419011,0.011426764,0.021828208,0.023051402,0.023778858,0.041939218,0.0083421795,0.010019013,0.032543514,0.0272518,0.016368529,0.006786137,0.01492999,0.010175181,0.021047257,0.057844393,0.025746664,0.026851911,0.022359412,0.027423196,0.060767613,0.023482976,0.008227327,0.010887289,0.059563983,0.023797266,0.021913605,0.0066425432,0.011584866,0.018646011,0.020537524,0.04021143,0.016415467,0.01787769,0.010629412,0.03392495,0.017706309,0.015043135,0.008546084,0.03333301,0.021362532,0.009028694,0.009332704,0.012189838,0.01289429,0.022531489,0.028665861,0.042279754,0.043682117,0.023697035,0.020600248,0.006207491,0.01832841,0.022949899,0.044395253,0.004517016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0,0.043468077,0.012485825,0.04092406,0.016838877,0.019905655,0.031090919,0.0104119275,0.014366988,0.02456578,0.057470094,0.019704085,0.005788385,0.01533207,0.02349143,0.03190487,0.026047256,0.027226707,0.03582312,0.027367366,0.028043777,0.2889411,0.030000981,0.00975649,0.012024438,0.037984774,0.0054814247,0.007832003,0.007974179,0.0104015535,0.007061123,0.01948464,0.03792553,0.034381934,0.017648991,0.010718281,0.019137705,0.017326087,0.027823323,0.009984961,0.03391985,0.021291655,0.009626459,0.009681186,0.021052655,0.020747837,0.016261734,0.014587053,0.019795125,0.015453669,0.02550329,0.009197092,0.0042912583,0.009581853,0.029513206,0.015218985,0.0028574916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0,0.0269653,0.008462234,0.03926487,0.017184371,0.009664098,0.0063908715,0.006280647,0.00551241,0.010738118,0.027577884,0.008396659,0.0028367785,0.0036088333,0.01194103,0.016895454,0.025342604,0.016627021,0.018869687,0.01413602,0.012820498,0.028856752,0.0048303246,0.00393043,0.0027791152,0.02009319,0.0060193357,0.005263215,0.0014489817,0.005050192,0.0075647244,0.010604551,0.010089812,0.0072787683,0.0083143655,0.005398156,0.0090998495,0.0033172022,0.0026039775,0.0012723889,0.004640808,0.017890876,0.0064844913,0.007841332,0.017110912,0.048509486,0.023231486,0.020432832,0.02108975,0.012674524,0.008933675,0.004293331,0.0028685064,0.0032436764,0.009624023,0.0074632685,0.002224189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0,0.026637673,0.0050001754,0.026542215,0.012505463,0.008269696,0.014440554,0.008219211,0.014192219,0.024226198,0.047516238,0.025274431,0.01127928,0.04028899,0.03307002,0.0423503,0.032010984,0.025731238,0.043707393,0.02863524,0.016644593,0.05622991,0.015906291,0.015662286,0.009676737,0.04778478,0.011401997,0.009965366,0.0018282383,0.009122681,0.0065672104,0.023349635,0.011430824,0.015452205,0.0089758,0.0100254025,0.034016073,0.009720562,0.022979189,0.008209158,0.010315952,0.05009766,0.014944473,0.009154311,0.041892163,0.03788715,0.02007159,0.03189623,0.018451737,0.015648706,0.013905322,0.01929862,0.006450559,0.0085271085,0.03239989,0.025352983,0.0028738803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0,0.03409225,0.012146162,0.033175305,0.014414627,0.0138175,0.028275045,0.008638491,0.011509623,0.011363131,0.051975835,0.011916475,0.0026087894,0.010612294,0.0076729944,0.022984406,0.01356597,0.09465994,0.118738055,0.04694306,0.03689961,0.09772343,0.05022787,0.030480262,0.023040248,0.071992904,0.018128607,0.013976127,0.0096890675,0.014741614,0.017575152,0.033596434,0.059394725,0.04323353,0.021104097,0.014848572,0.04109122,0.042905603,0.028370488,0.007534339,0.013191649,0.019302163,0.005942145,0.007447407,0.017889457,0.01942793,0.00931648,0.020563154,0.025226425,0.026760664,0.024271512,0.019575972,0.0066346554,0.015884629,0.03417093,0.0336603,0.0069936467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
0,0.056628946,0.01653965,0.13768527,0.022461148,0.042722993,0.03287984,0.011923732,0.013508527,0.019536395,0.048102308,0.016918885,0.0029205321,0.013819863,0.016252551,0.020442214,0.07835869,0.06585618,0.05352142,0.036741577,0.023615597,0.13020004,0.031447858,0.0106770545,0.021991028,0.051702436,0.036952678,0.03754156,0.013027642,0.021164706,0.027458278,0.04204315,0.028459657,0.06366692,0.03197568,0.026814137,0.11233974,0.10190391,0.11766168,0.016416496,0.04308181,0.021179212,0.0059890067,0.006773225,0.021577606,0.011371535,0.022859413,0.025573466,0.03833454,0.015791232,0.025452945,0.013669562,0.005031388,0.012155538,0.021437984,0.034565873,0.004968321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
0,0.022886004,0.016454907,0.025968378,0.029460847,0.022794548,0.033981767,0.008320024,0.015274444,0.017026998,0.06787932,0.020131579,0.0053108605,0.009097717,0.018736813,0.042870816,0.022057636,0.020091165,0.025490617,0.020356309,0.038110342,0.15789422,0.028162837,0.008369017,0.020863596,0.023712326,0.023183022,0.02002146,0.012223831,0.019570613,0.024192147,0.031784654,0.025978742,0.06914773,0.021902375,0.02175581,0.055246077,0.037218913,0.05671815,0.006847771,0.01690795,0.030597521,0.014554973,0.015234103,0.02883084,0.03193809,0.033308033,0.013619849,0.015781902,0.029875137,0.029294483,0.01532828,0.0056512295,0.015717803,0.015120461,0.031344067,0.006496368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
0,0.04375349,0.004267424,0.015788862,0.011829863,0.017487861,0.021887938,0.0029024316,0.0065149753,0.021633156,0.03555818,0.020790974,0.007011489,0.011810568,0.017709404,0.053838268,0.045535013,0.01685342,0.029252956,0.0087561365,0.02998572,0.09275005,0.009776584,0.0040423786,0.007139729,0.035720136,0.016786048,0.0125257475,0.0031986998,0.006060407,0.013291975,0.022250174,0.020611253,0.036651533,0.019512424,0.0069148224,0.04625087,0.023639383,0.024316924,0.0057812026,0.02951852,0.016943095,0.0068666576,0.0076315356,0.013335939,0.029984891,0.007395787,0.009287926,0.0087703485,0.02661069,0.019631863,0.009206323,0.0035391168,0.004797992,0.03794596,0.033564556,0.0029206416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
