,EEG.Fp1,EEG.Fz,EEG.F3,EEG.F7,EEG.FT9,EEG.FC5,EEG.FC1,EEG.C3,EEG.T7,EEG.TP9,EEG.CP5,EEG.CP1,EEG.Pz,EEG.P3,EEG.P7,EEG.O1,EEG.Oz,EEG.O2,EEG.P4,EEG.P8,EEG.TP10,EEG.CP6,EEG.CP2,EEG.C4,EEG.T8,EEG.FT10,EEG.FC6,EEG.FC2,EEG.F4,EEG.F8,EEG.Fp2,EEG.AF7,EEG.AF3,EEG.AFz,EEG.F1,EEG.F5,EEG.FT7,EEG.FC3,EEG.C1,EEG.C5,EEG.TP7,EEG.CP3,EEG.P1,EEG.P5,EEG.PO7,EEG.PO3,EEG.POz,EEG.PO4,EEG.PO8,EEG.P6,EEG.P2,EEG.CPz,EEG.CP4,EEG.TP8,EEG.C6,EEG.C2,EEG.FC4,EEG.FT8,EEG.F6,EEG.AF8,EEG.AF4,EEG.F2,EEG.FCz,number
0,0.02322952,0.0068461993,0.013219521,0.009537943,0.006753517,0.009218404,0.0026153096,0.0048574014,0.015130274,0.0350991,0.0068081263,0.0028440312,0.0070372447,0.009164712,0.009814383,0.020692172,0.01448381,0.025445549,0.013856848,0.013834339,0.03474882,0.008822416,0.0062672156,0.0071028518,0.018741097,0.00733994,0.008237663,0.0034737438,0.006316152,0.005517788,0.013356316,0.011845985,0.017608553,0.011525549,0.003233299,0.012258891,0.010207851,0.012104555,0.0043611345,0.008695299,0.008952068,0.0045711766,0.0057569426,0.009780306,0.011470518,0.009123445,0.0077138552,0.012421465,0.019667482,0.01146231,0.008176231,0.002646006,0.005062115,0.013150995,0.013545252,0.0026434322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,0.026931709,0.009360792,0.015486919,0.014528902,0.010306014,0.017332844,0.003953579,0.0060560177,0.012456793,0.039054073,0.0073466883,0.0040725656,0.010564556,0.018498747,0.014435421,0.037695818,0.01715221,0.022921374,0.019961812,0.026517235,0.056787957,0.011891691,0.008345124,0.006789959,0.027178474,0.008268801,0.011697525,0.0035782382,0.009020882,0.009211913,0.014977663,0.01328379,0.016081005,0.012175884,0.00532962,0.015256338,0.01136137,0.016613096,0.004376617,0.012351983,0.014395658,0.005437616,0.005826139,0.011368254,0.023070363,0.01712822,0.008248666,0.018147973,0.021093106,0.014702459,0.011701745,0.006019553,0.005335378,0.021950707,0.02138291,0.0022096785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,0.028436314,0.010258617,0.02168123,0.0204842,0.01740656,0.017766755,0.0040725274,0.008126286,0.018757083,0.061797764,0.008836825,0.007832936,0.011089147,0.018371774,0.016214807,0.043796252,0.017200835,0.031764686,0.014802481,0.02398802,0.05713352,0.0130811,0.007178843,0.008220629,0.031914067,0.010034137,0.0103808865,0.00483128,0.009426695,0.011243029,0.01609033,0.012467736,0.018146208,0.012817474,0.004443026,0.023224633,0.01634062,0.015320723,0.004771767,0.011113441,0.016821837,0.006370287,0.006427945,0.010862938,0.027253676,0.017025845,0.009745988,0.023018511,0.023080785,0.018223058,0.011595533,0.004345906,0.006634222,0.016750403,0.021840395,0.0032176827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,0.02802828,0.011069271,0.01672891,0.016894173,0.013272862,0.021927247,0.006158421,0.008422414,0.018802267,0.051972076,0.009184061,0.0048060706,0.009195185,0.0158956,0.020077094,0.041662235,0.025802625,0.03147412,0.01778444,0.023883974,0.06080962,0.021234293,0.009671967,0.009262183,0.043112576,0.015655536,0.009666617,0.004145328,0.009835673,0.011463954,0.018882914,0.014139709,0.022689553,0.011027273,0.0040094014,0.019026255,0.01599925,0.0125436615,0.0052931905,0.011314947,0.021296363,0.007028103,0.0060930313,0.013271386,0.024621433,0.018499257,0.011614981,0.017906861,0.03106983,0.014973137,0.011692351,0.0046770405,0.008063762,0.022467671,0.030195648,0.0028850795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,0.03219031,0.012162918,0.019970762,0.018827615,0.012995717,0.022103995,0.0069124345,0.0073085837,0.019216504,0.05687788,0.011770152,0.008982524,0.021036258,0.027191777,0.027266182,0.044559147,0.021865254,0.03839717,0.022430755,0.030633025,0.08381476,0.02359829,0.010198761,0.010087018,0.039588876,0.017394468,0.012891815,0.00470981,0.010877434,0.013327794,0.019439396,0.01614322,0.022695713,0.01369463,0.00516687,0.020500807,0.01912899,0.013835957,0.005970035,0.013880374,0.015895834,0.008412603,0.0059096343,0.0171527,0.024820033,0.021640861,0.01818384,0.023780243,0.030134259,0.019358769,0.014923276,0.005728495,0.00799705,0.024240268,0.029993389,0.0030275849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,0.02998148,0.010397051,0.025239645,0.028593337,0.020087354,0.028952904,0.0071562706,0.007998541,0.027131265,0.081811115,0.013262988,0.0077834507,0.022133827,0.023026668,0.022816397,0.04420097,0.02711363,0.044097338,0.024878997,0.024360305,0.09428204,0.024651263,0.011066685,0.011829859,0.043800645,0.02013516,0.015896691,0.004789197,0.014796582,0.016035618,0.02085323,0.018931858,0.021101959,0.016684104,0.0069005033,0.028972263,0.021545256,0.018434651,0.0059521617,0.015422375,0.016406292,0.009483739,0.009733886,0.016877066,0.031178994,0.02564568,0.018511238,0.02525636,0.03125909,0.025806695,0.01706771,0.0055303825,0.009655029,0.023473272,0.038420994,0.004031261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,0.029913243,0.016691048,0.047772054,0.024585843,0.022967737,0.028397217,0.008407922,0.01190397,0.031181846,0.07311684,0.018030016,0.0053471113,0.01807543,0.021195333,0.024632346,0.04840042,0.027859969,0.05225783,0.022270272,0.031537592,0.064197816,0.029108517,0.011777352,0.013515211,0.05792137,0.029848633,0.021234572,0.005624436,0.013838218,0.01678646,0.026437908,0.021801801,0.025171444,0.022384888,0.007752804,0.024601873,0.019579487,0.016885951,0.0063522463,0.016744828,0.022399621,0.011322553,0.011890744,0.013599742,0.03982205,0.024266122,0.019672126,0.028141871,0.038757022,0.033773243,0.017792288,0.005710162,0.009422436,0.022438375,0.037482478,0.0054065096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,0.04482339,0.013080351,0.03629469,0.02375912,0.029897597,0.027515266,0.009961927,0.013074594,0.028500002,0.079292715,0.01891916,0.01150351,0.030180287,0.032868635,0.029451702,0.062299434,0.03561682,0.0506431,0.029858386,0.03307965,0.1088057,0.022876581,0.013012762,0.018112395,0.04873698,0.023412531,0.019873565,0.00620674,0.013588274,0.018421466,0.024895497,0.019526767,0.027972367,0.02084712,0.007534362,0.033004362,0.023524504,0.021258885,0.0057520103,0.019873189,0.021247031,0.008308719,0.012492118,0.016758593,0.042141512,0.02445924,0.024371963,0.032130197,0.04269737,0.028861834,0.017746134,0.007117669,0.010375937,0.02391494,0.037342373,0.0044333907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,0.04623454,0.015379797,0.028930757,0.026517378,0.02634856,0.033203375,0.010062132,0.014431306,0.033756346,0.07574337,0.019711668,0.009070475,0.021261374,0.03854254,0.031969253,0.08139606,0.03866284,0.053311255,0.03341235,0.0345007,0.10115618,0.02938262,0.011737746,0.017120548,0.044233434,0.027756583,0.023888994,0.00811541,0.017614208,0.022613786,0.029326275,0.020523896,0.02474934,0.019615555,0.008854695,0.037174854,0.02803488,0.024455536,0.005550563,0.027443653,0.022413414,0.010861968,0.013806074,0.019014414,0.040267017,0.02545534,0.020395037,0.038161013,0.04159732,0.037218492,0.016994009,0.007876335,0.010237534,0.027021151,0.03959071,0.004870968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,0.039818358,0.01646577,0.032332793,0.031184848,0.028538726,0.039861675,0.012277596,0.014043664,0.035812825,0.08793491,0.017421253,0.01082261,0.0272771,0.033367485,0.037677012,0.08333227,0.046790503,0.054471035,0.03382691,0.036766417,0.1303063,0.03448737,0.0127620585,0.01725284,0.0465329,0.026006542,0.02026653,0.0072060646,0.015314004,0.019182311,0.030347077,0.02406626,0.033254184,0.023078553,0.009672891,0.03463457,0.029298496,0.026428455,0.0054537943,0.023692816,0.02395257,0.010860471,0.012545904,0.020055052,0.04153258,0.02916578,0.024239503,0.035162464,0.040720962,0.03685059,0.01789642,0.0074586337,0.013692161,0.023737784,0.044247966,0.0050303405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
